"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG00096.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"12"	"13"	"1167"	"H16a1"	"0.927"	"H16a1"	"0.794"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00097.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"36"	"22"	"2586"	"T2f1a1"	"0.919"	"T2f1a1"	"0.899"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"HG00099.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"10"	"5"	"2133"	"H1ae"	"0.966"	"H1ae"	"0.966"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG00100.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"29"	"14"	"3740"	"X2b8"	"0.981"	"X2b8"	"0.935"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00101.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"28"	"17"	"1549"	"J1c3g"	"0.954"	"J1c3g"	"0.935"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00102.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"10"	"18"	"1930"	"H58a"	"0.915"	"H58a"	"0.857"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG00103.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"31"	"8"	"1449"	"J1c3b2"	"0.957"	"J1c3b2"	"0.928"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG00105.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"11"	"13"	"1782"	"H1m"	"0.925"	"H1m"	"0.891"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG00106.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam"	"NO"	"32"	"18"	"2372"	"J2b1a"	"0.983"	"J2b1a"	"0.923"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG00107.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"30"	"17"	"1983"	"J1c3b1a"	"0.987"	"J1c3b1a"	"0.941"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG00108.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"28"	"21"	"1143"	"X2b+226+16192"	"1.000"	"X2b+226"	"0.936"	"27"	"27"	"0"	"0"	" "	" "	"1"	""
"HG00109.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"28"	"17"	"2165"	"U4a2"	"0.985"	"U4a2"	"0.926"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00110.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam"	"NO"	"12"	"13"	"1872"	"H1e1a"	"1.000"	"H1e1a"	"0.896"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00111.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"10"	"23"	"1137"	"H1e2"	"0.962"	"H1e2"	"0.800"	"9"	"9"	"0"	"0"	" "	" "	"0"	""
"HG00112.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam"	"NO"	"11"	"13"	"1248"	"H5b2"	"1.000"	"H5b2"	"0.901"	"11"	"11"	"0"	"0"	" "	" "	"0"	""
