"SampleID","pop","super_pop","gender","HG calmom","HG mutserve","Quality calmom","Quality mutserve","Result Equal?"
"HG00096","GBR","EUR","male","H16a1","H16a1",0.9539,0.9549,1
"HG00097","GBR","EUR","female","T2f1a1","T2f1a1",0.9911,1,1
"HG00099","GBR","EUR","female","H1ae","H1ae",0.9662,0.9662,1
"HG00100","GBR","EUR","female","X2b8","X2b8",0.9812,0.9812,1
"HG00101","GBR","EUR","male","J1c3g","J1c3g",0.9672,0.9517,1
"HG00102","GBR","EUR","female","H58a","H58a",0.9487,0.9487,1
"HG00103","GBR","EUR","male","J1c3b2","J1c3b2",0.9567,0.9567,1
"HG00105","GBR","EUR","male","H1m","H1m",0.9253,0.9253,1
"HG00106","GBR","EUR","female","J2b1a","J2b1a",0.9828,0.9828,1
"HG00107","GBR","EUR","male","J1c3b1a","J1c3b1a",0.9875,0.9875,1
"HG00108","GBR","EUR","male","X2b+226+16192","X2b+226+16192",1,1,1
"HG00109","GBR","EUR","male","U4a2","U4a2",0.985,0.985,1
"HG00110","GBR","EUR","female","H1e1a","H1e1a",1,1,1
"HG00111","GBR","EUR","female","H1e2","H1e2",1,1,1
"HG00112","GBR","EUR","male","H5b2","H5b2",1,1,1
"HG00113","GBR","EUR","male","X2b8","X2b8",0.9812,0.9812,1
"HG00114","GBR","EUR","male","U5b2c2b","U5b2c2b",0.9814,0.9894,1
"HG00115","GBR","EUR","male","T2b23a","T2b23a",0.9784,0.9872,1
"HG00116","GBR","EUR","male","U5b2c2b","U5b2c2b",0.9814,0.9945,1
"HG00117","GBR","EUR","male","J1c2e1","J1c2e1",0.9602,0.9602,1
"HG00118","GBR","EUR","female","H3a1a","H3a1a",1,1,1
"HG00119","GBR","EUR","male","T1a1","T1a1",0.9651,0.9607,1
"HG00120","GBR","EUR","female","J1c5","J1c5",1,1,1
"HG00121","GBR","EUR","female","K1a4g","K1a4g",0.9676,0.9676,1
"HG00122","GBR","EUR","female","U5b2c2b","U5b2c2b",0.9686,0.9821,1
"HG00123","GBR","EUR","female","H2a2b5a","H2a2b5a",0.8743,0.8743,1
"HG00125","GBR","EUR","female","H1e2","H1e2",0.9497,0.9497,1
