ID,Haplocheck Cov,ID,VerifyBamID Cov,Tissue,Copy Number
HG00096,1167,HG00096,4.23,,551.7730496
HG00097,2586,HG00097,9.54,,542.1383648
HG00099,2133,HG00099,8.17,,522.1542228
HG00100,3740,HG00100,12.73,,587.5883739
HG00101,1549,HG00101,6.78,,456.9321534
HG00102,1930,HG00102,6.54,,590.2140673
HG00103,1449,HG00103,4.43,,654.1760722
HG00105,1782,HG00105,6.86,,519.5335277
HG00106,2372,HG00106,7.19,,659.8052851
HG00107,1983,HG00107,7.35,,539.5918367
HG00108,1143,HG00108,4.57,,500.2188184
HG00109,2165,HG00109,6.71,,645.3055142
HG00110,1872,HG00110,8.99,,416.4627364
HG00111,1137,HG00111,4.73,,480.7610994
HG00112,1248,HG00112,3.89,,641.6452442
HG00113,2521,HG00113,9.3,,542.1505376
HG00114,1263,HG00114,3.49,,723.782235
HG00115,2546,HG00115,7.42,,686.2533693
HG00116,1530,HG00116,4.52,,676.9911504
HG00117,1792,HG00117,5.38,,666.1710037
HG00118,3287,HG00118,11.62,,565.7487091
HG00119,1799,HG00119,4.93,,729.8174442
HG03644,336,HG00120,4.64,Blood,144.8275862
HG00121,1998,HG00121,6.46,,618.5758514
HG00122,2494,HG00122,6.58,,758.0547112
HG00123,1668,HG00123,6.83,,488.4333821
HG00125,678,HG00125,2.84,,477.4647887
HG03479,75,HG00126,7.06,LCL,21.24645892
HG00127,1609,HG00127,4.21,,764.3705463
HG00128,3304,HG00128,7.11,,929.395218
HG00129,2774,HG00129,7.47,,742.7041499
HG00130,1755,HG00130,5.76,,609.375
HG02696,141,HG00131,4.85,Blood,58.1443299
HG00132,2368,HG00132,7.26,,652.3415978
HG00133,2747,HG00133,8.56,,641.8224299
HG00136,802,HG00136,2.91,,551.2027491
HG00137,807,HG00137,2.78,,580.5755396
HG00138,1184,HG00138,4.56,,519.2982456
HG00139,2668,HG00139,11.25,,474.3111111
HG03716,230,HG00140,10.4,Blood,44.23076923
HG00141,3773,HG00141,12.5,,603.68
HG00142,1798,HG00142,3.47,,1036.311239
HG00143,2283,HG00143,7.44,,613.7096774
HG00145,2127,HG00145,6.38,,666.7711599
HG00146,1267,HG00146,4.68,,541.4529915
HG00148,3731,HG00148,9.23,,808.4507042
HG00149,2191,HG00149,7.06,,620.6798867
HG00150,948,HG00150,3.47,,546.3976945
HG00151,1598,HG00151,3.77,,847.7453581
HG00154,944,HG00154,4.14,,456.0386473
HG03953,119,HG00155,5.26,Blood,45.24714829
HG03238,127,HG00157,4.79,Blood,53.02713987
HG00158,933,HG00158,3.08,,605.8441558
HG00159,1118,HG00159,4.16,,537.5
HG00160,1414,HG00160,5.1,,554.5098039
HG00171,1539,HG00171,3.16,,974.0506329
HG00173,1063,HG00173,3.58,,593.8547486
HG00174,1649,HG00174,3.49,,944.9856734
HG00176,3301,HG00176,8.68,,760.5990783
HG00177,964,HG00177,3.43,,562.0991254
HG00178,2907,HG00178,8.08,,719.5544554
HG00179,1174,HG00179,3.76,,624.4680851
HG00180,903,HG00180,3.43,,526.5306122
HG00181,2195,HG00181,7.26,,604.6831956
HG00182,1180,HG00182,3.44,,686.0465116
HG00183,1247,HG00183,3.42,,729.2397661
HG00185,3540,HG00185,7.25,,976.5517241
HG00186,1522,HG00186,3.07,,991.5309446
HG00187,1237,HG00187,3.06,,808.496732
HG00188,2552,HG00188,7.13,,715.8485273
HG00189,1246,HG00189,3.45,,722.3188406
HG00190,1018,HG00190,3.03,,671.9471947
HG00231,1639,HG00231,5.44,,602.5735294
HG00232,685,HG00232,3.54,,387.0056497
HG00233,1041,HG00233,3.76,,553.7234043
HG00234,2164,HG00234,6.79,,637.4079529
HG00235,2695,HG00235,8.97,,600.8918618
HG00236,3787,HG00236,11.79,,642.408821
HG00237,2846,HG00237,8.09,,703.5846724
HG00238,1343,HG00238,5.72,,469.5804196
HG00239,1783,HG00239,7.51,,474.8335553
HG00240,1690,HG00240,7.54,,448.2758621
HG00242,1479,HG00242,3.73,,793.0294906
HG00243,2383,HG00243,7.28,,654.6703297
HG00244,3457,HG00244,7.49,,923.0974633
HG01326,163,HG00245,4.37,Blood,74.59954233
HG00246,1235,HG00246,3.79,,651.7150396
HG00250,3221,HG00250,11.82,,545.0084602
HG00251,3111,HG00251,11.56,,538.2352941
HG00252,2640,HG00252,9.79,,539.3258427
HG00253,2618,HG00253,9.13,,573.4939759
HG00254,2375,HG00254,7.26,,654.2699725
HG00255,1966,HG00255,6.8,,578.2352941
HG00256,2403,HG00256,10.88,,441.7279412
HG00257,2488,HG00257,9.14,,544.4201313
HG01108,129,HG00258,8.64,,29.86111111
HG00259,2701,HG00259,10.71,,504.388422
HG00260,2907,HG00260,9.93,,585.4984894
HG00261,2867,HG00261,8.28,,692.5120773
HG04106,107,HG00262,5.33,Blood,40.15009381
HG00263,1212,HG00263,5.12,,473.4375
HG03765,85,HG00264,4.81,Blood,35.34303534
HG00265,1808,HG00265,3.62,,998.8950276
HG00266,832,HG00266,3.57,,466.1064426
HG00267,1473,HG00267,4.44,,663.5135135
HG00268,2509,HG00268,9.12,,550.2192982
HG00269,1245,HG00269,3.79,,656.9920844
HG00271,2623,HG00271,9.57,,548.1713689
HG00272,1206,HG00272,3.28,,735.3658537
HG00273,2539,HG00273,9.42,,539.0658174
HG00274,1195,HG00274,4.06,,588.6699507
HG00275,948,HG00275,3.92,,483.6734694
HG00276,1405,HG00276,4.07,,690.4176904
HG00277,956,HG00277,4.07,,469.7788698
HG00278,966,HG00278,3.9,,495.3846154
HG00280,767,HG00280,3.93,,390.3307888
HG00281,1055,HG00281,4.04,,522.2772277
HG00282,631,HG00282,3.76,,335.6382979
HG00284,1095,HG00284,4.28,,511.682243
HG00285,825,HG00285,3.93,,419.8473282
HG00288,2228,HG00288,8.35,LCL,533.6526946
HG00290,2712,HG00290,7.5,LCL,723.2
HG00304,1279,HG00304,3.57,LCL,716.5266106
HG00306,1701,HG00306,3.8,,895.2631579
HG00308,1201,HG00308,3.28,,732.3170732
HG00309,1901,HG00309,10.06,,377.9324056
HG00310,1675,HG00310,4.5,,744.4444444
HG00311,1534,HG00311,3.69,,831.4363144
HG00313,690,HG00313,3.08,,448.0519481
HG00315,821,HG00315,2.96,,554.7297297
HG00318,800,HG00318,3.06,,522.875817
HG00319,744,HG00319,2.99,,497.6588629
HG00320,919,HG00320,3.06,,600.6535948
HG00321,969,HG00321,4.61,,420.3904555
HG00323,579,HG00323,2.89,,400.6920415
HG00324,1173,HG00324,4.64,,505.6034483
HG00325,1156,HG00325,4.44,,520.7207207
HG00326,1064,HG00326,3.99,,533.3333333
HG00327,480,HG00327,2.82,,340.4255319
HG00328,1103,HG00328,4.09,,539.3643032
HG00329,933,HG00329,4.27,,437.0023419
HG00330,908,HG00330,4.13,,439.7094431
HG00331,1363,HG00331,4.99,,546.2925852
HG00332,1764,HG00332,6.11,,577.4140753
HG00334,1553,HG00334,4.84,,641.7355372
HG00335,2637,HG00335,10.89,,484.2975207
HG00336,672,HG00336,3.27,,411.0091743
HG00337,2916,HG00337,10.72,,544.0298507
HG00338,696,HG00338,2.79,,498.9247312
HG00339,641,HG00339,2.78,,461.1510791
HG00341,1950,HG00341,7.58,,514.5118734
HG00342,1443,HG00342,5.59,,516.2790698
HG00343,843,HG00343,3.2,,526.875
HG00344,844,HG00344,3.14,,537.5796178
HG00345,2556,HG00345,10.76,,475.0929368
HG00346,2763,HG00346,9.93,,556.4954683
HG00349,2854,HG00349,7.79,,732.7342747
HG00350,2443,HG00350,7.02,,696.011396
HG00351,1718,HG00351,5.25,,654.4761905
HG00353,2468,HG00353,10.93,,451.6010979
HG00355,2427,HG00355,7.37,,658.6160109
HG00356,2835,HG00356,7.03,,806.5433855
HG00357,1299,HG00357,3.27,,794.4954128
HG00358,2360,HG00358,8.89,,530.9336333
HG00360,2521,HG00360,7.65,,659.0849673
HG00361,1700,HG00361,5.21,,652.5911708
HG00362,1849,HG00362,6.73,,549.4799406
HG00364,2176,HG00364,7.64,,569.6335079
HG00365,3021,HG00365,7.35,,822.0408163
HG00366,1760,HG00366,3.64,,967.032967
HG02685,177,HG00367,3.47,Blood,102.0172911
HG00368,2424,HG00368,6.58,,736.7781155
HG00369,1408,HG00369,4.3,,654.8837209
HG00371,2042,HG00371,7.12,,573.5955056
HG00372,941,HG00372,3.3,,570.3030303
HG00373,1149,HG00373,2.92,,786.9863014
HG00375,1329,HG00375,3.53,,752.9745042
HG00376,1802,HG00376,8,,450.5
HG00378,2383,HG00378,8.69,,548.4464902
HG00379,1798,HG00379,6.61,,544.0242057
HG00380,1344,HG00380,3.9,,689.2307692
HG00381,1873,HG00381,7.24,,517.4033149
HG00382,1459,HG00382,6.45,,452.4031008
HG00383,1715,HG00383,6.21,,552.3349436
HG00384,1982,HG00384,7.53,,526.4276228
HG00403,807,HG00403,2.82,,572.3404255
HG00404,1144,HG00404,4.7,,486.8085106
HG00406,1752,HG00406,5.94,,589.8989899
HG00407,1842,HG00407,6.64,,554.8192771
HG00409,2677,HG00409,8.91,LCL,600.8978676
HG00410,3234,HG00410,9.89,LCL,653.9939333
HG00419,2328,HG00419,9.36,,497.4358974
HG00421,2278,HG00421,9.57,,476.0710554
HG00422,2155,HG00422,10.37,,415.6219865
HG00428,3135,HG00428,11,,570
HG00436,246,HG00436,2.94,,167.3469388
HG00437,2475,HG00437,10.56,,468.75
HG00442,2380,HG00442,10.91,,436.2969753
HG00443,2106,HG00443,8.95,,470.6145251
HG00445,2712,HG00445,8.73,,621.3058419
HG00446,2130,HG00446,8.92,,477.5784753
HG00448,2530,HG00448,9.31,,543.5016112
HG00449,646,HG00449,4.33,,298.3833718
HG00451,2758,HG00451,7.61,,724.8357424
HG00452,1484,HG00452,7.97,,372.3964868
HG02787,158,HG00457,7.4,Blood,42.7027027
HG00458,2272,HG00458,8.91,,509.9887767
HG00463,299,HG00463,4.6,,130
HG00464,470,HG00464,5.09,,184.675835
HG00472,2401,HG00472,11.17,,429.9015219
HG00473,2396,HG00473,10.67,,449.1096532
HG00475,3021,HG00475,10.82,,558.4103512
HG00476,2053,HG00476,9.8,,418.9795918
HG00478,2204,HG00478,9.9,,445.2525253
HG00479,2550,HG00479,10.53,,484.3304843
HG00500,1031,HG00500,4.11,,501.703163
HG00513,299,HG00513,3.34,,179.0419162
HG00524,194,HG00524,2.96,,131.0810811
HG00525,2576,HG00525,9.99,,515.7157157
HG00530,226,HG00530,3.61,,125.2077562
HG00531,175,HG00531,3.61,,96.95290859
HG00533,1198,HG00533,4.31,,555.9164733
HG00534,1187,HG00534,4.48,,529.9107143
HG00536,2132,HG00536,10.23,,416.8132942
HG00537,231,HG00537,3.65,,126.5753425
HG00542,265,HG00542,3.68,,144.0217391
HG00543,2300,HG00543,10.11,,454.9950544
HG00551,2596,HG00551,6.98,,743.8395415
HG00553,934,HG00553,2.95,,633.220339
HG00554,1155,HG00554,4.19,,551.3126492
HG00556,2452,HG00556,10.24,,478.90625
HG00557,1809,HG00557,9.62,,376.0914761
HG00559,899,HG00559,4.04,,445.049505
HG00560,1151,HG00560,3.44,,669.1860465
HG00565,1104,HG00565,3.54,,623.7288136
HG00566,996,HG00566,3.69,,539.8373984
HG00580,1092,HG00580,4.02,,543.2835821
HG00581,1672,HG00581,4.55,,734.9450549
HG00583,1510,HG00583,4.52,,668.1415929
HG00584,1298,HG00584,4.39,,591.3439636
HG00589,1229,HG00589,4,,614.5
HG00590,1077,HG00590,3.15,,683.8095238
HG00592,918,HG00592,3.27,,561.4678899
HG00593,2330,HG00593,7.79,,598.2028241
HG00595,1888,HG00595,4.38,,862.1004566
HG00596,646,HG00596,2.81,,459.7864769
HG00598,3825,HG00598,9.08,LCL,842.5110132
HG00599,2280,HG00599,9.12,LCL,500
HG00607,1034,HG00607,3.36,,615.4761905
HG00608,1108,HG00608,3.73,,594.1018767
HG00610,1027,HG00610,3.83,,536.2924282
HG00611,853,HG00611,3.15,,541.5873016
HG00613,1215,HG00613,4.47,,543.6241611
HG00614,985,HG00614,3.51,,561.2535613
HG00619,1174,HG00619,4.2,,559.047619
HG00620,870,HG00620,3.53,,492.917847
HG00622,3361,HG00622,9.32,LCL,721.2446352
HG00623,3258,HG00623,10.1,LCL,645.1485149
HG00625,659,HG00625,2.8,,470.7142857
HG00626,938,HG00626,3.51,,534.4729345
HG00628,771,HG00628,3.47,,444.3804035
HG00629,1044,HG00629,3.83,,545.1697128
HG00631,2616,HG00631,9.41,LCL,556.0042508
HG00632,2608,HG00632,7.23,LCL,721.4384509
HG00634,747,HG00634,3.12,,478.8461538
HG00637,1167,HG00637,3.2,,729.375
HG00638,1435,HG00638,4.21,,681.7102138
HG00640,986,HG00640,4.69,,420.4690832
HG00641,1352,HG00641,4.17,,648.441247
HG00650,1249,HG00650,3.98,,627.638191
HG00651,1126,HG00651,3.66,,615.3005464
HG00653,1323,HG00653,4.37,,605.4919908
HG00654,1104,HG00654,4.22,,523.2227488
HG00656,1105,HG00656,4.62,,478.3549784
HG00657,1210,HG00657,4.26,,568.0751174
HG00662,1131,HG00662,4,,565.5
HG00663,1162,HG00663,4.36,,533.0275229
HG00671,1533,HG00671,4.66,,657.9399142
HG00672,1093,HG00672,4.24,,515.5660377
HG00674,2536,HG00674,8.75,LCL,579.6571429
HG00675,2313,HG00675,8.95,LCL,516.8715084
HG00683,1159,HG00683,3.99,,580.952381
HG00684,1203,HG00684,4.27,,563.4660422
HG00689,1280,HG00689,4.06,,630.5418719
HG00690,1131,HG00690,4.22,,536.0189573
HG00692,953,HG00692,4.4,,433.1818182
HG00693,1112,HG00693,4.33,,513.6258661
HG00698,1130,HG00698,4.2,,538.0952381
HG00699,967,HG00699,4.25,,455.0588235
HG00701,1086,HG00701,4,,543
HG00704,1170,HG00704,4.48,,522.3214286
HG00705,1233,HG00705,4.55,,541.978022
HG00707,1490,HG00707,4.73,,630.0211416
HG00708,1374,HG00708,4.99,,550.7014028
HG00717,1438,HG00717,5.51,LCL,521.9600726
HG00728,2585,HG00728,8.51,LCL,607.520564
HG00729,2758,HG00729,9.58,LCL,575.782881
HG00731,2770,HG00731,19.02,LCL,291.2723449
HG00732,5503,HG00732,19.56,LCL,562.6789366
HG00734,2187,HG00734,9.37,,466.8089648
HG00736,1375,HG00736,5.19,,529.8651252
HG00737,1754,HG00737,7.74,,453.2299742
HG00739,4132,HG00739,12.47,,662.7105052
HG01870,263,HG00740,4.34,,121.1981567
HG00742,125,HG00742,4.9,Blood,51.02040816
HG00743,90,HG00743,5.15,Blood,34.95145631
HG00759,2631,HG00759,8.62,,610.4408353
HG00766,2420,HG00766,8.86,,546.275395
HG00844,2411,HG00844,10.46,,460.9942639
HG00851,2894,HG00851,11.71,,494.2783945
HG00864,410,HG00864,3.56,,230.3370787
HG00867,1871,HG00867,7.78,,480.9768638
HG00879,299,HG00879,3.06,,195.4248366
HG00881,2575,HG00881,7.96,,646.9849246
HG00956,2349,HG00956,7.67,,612.5162973
HG00978,1488,HG00978,6.7,,444.1791045
HG00982,1576,HG00982,7.06,,446.4589235
HG01028,2023,HG01028,7.21,,561.1650485
HG01029,3341,HG01029,7.7,,867.7922078
HG01031,360,HG01031,4.58,,157.2052402
HG01046,1568,HG01046,6.71,,467.3621461
HG01047,1163,HG01047,5.6,,415.3571429
HG01048,1921,HG01048,8.14,,471.990172
HG01095,166,HG01049,6.6,,50.3030303
HG01051,80,HG01051,5.27,,30.36053131
HG01052,69,HG01052,5.3,,26.03773585
