verifybamid_id,SampleID,sample,1000g,Contamination,read_group,type,free_contam,chip_contam,snps,avg_depth,free_ref_bias_ref_het,free_ref_bias_refhomalt,chip_ref_bias_ref_het,chip_ref_bias_refhomalt,depth_homref_site,rel_depth_het_site,vcf,verdict,performed,name,,SampleID
7964,HG00740.mapped.ILLUMINA.bwa.PUR.low_coverage.20120522.bam,HG00740,1,YES,ALL,BAM,0.02746,0.02735,1558284,4.34,0.50215,0.00047,0.502,0.00069,4.341,1.0005,PUR.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/17/2013 10:41,/nfs/1000g-archive/vol1/ftp/data/HG00740/alignment/HG00740.mapped.ILLUMINA.bwa.PUR.low_coverage.20120522.bam,,HG02337.mapped.ILLUMINA.bwa.ACB.low_coverage.20120522.bam
8566,HG01597.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam,HG01597,1,YES,ALL,BAM,0.027,0.02728,1241587,6.19,0.50238,0.00025,0.5024,0.00038,6.196,1.0001,KHV.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/16/2013 11:40,/nfs/1000g-archive/vol1/ftp/data/HG01597/alignment/HG01597.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam,,HG03693.mapped.ILLUMINA.bwa.STU.low_coverage.20130415.bam
6658,HG01668.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam,HG01668,1,YES,ALL,BAM,0.02643,0.0267,1400201,4.41,0.5035,0.00104,0.50237,0.00082,4.409,1.0024,IBS.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/16/2013 23:00,/nfs/1000g-archive/vol1/ftp/data/HG01668/alignment/HG01668.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam,,HG02373.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam
8283,NA20877.mapped.ILLUMINA.bwa.GIH.low_coverage.20120522.bam,NA20877,1,YES,ALL,BAM,0.02614,0.02883,1368816,3.92,0.50087,0.00039,0.50175,0.0007,3.929,0.9997,GIH.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/16/2013 23:31,/nfs/1000g-archive/vol1/ftp/data/NA20877/alignment/NA20877.mapped.ILLUMINA.bwa.GIH.low_coverage.20120522.bam,,HG04014.mapped.ILLUMINA.bwa.ITU.low_coverage.20121211.bam
9544,HG02231.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam,HG02231,1,YES,ALL,BAM,0.02543,0.02592,1400201,4.43,0.50179,0.00053,0.50197,0.00044,4.434,0.9988,IBS.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/17/2013 7:44,/nfs/1000g-archive/vol1/ftp/data/HG02231/alignment/HG02231.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam,,HG03848.mapped.ILLUMINA.bwa.STU.low_coverage.20121211.bam
8633,NA20849.mapped.ILLUMINA.bwa.GIH.low_coverage.20120522.bam,NA20849,1,YES,ALL,BAM,0.0243,0.0249,1368816,7.02,0.50208,0.00027,0.50249,0.00033,7.031,0.9993,GIH.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/17/2013 8:25,/nfs/1000g-archive/vol1/ftp/data/NA20849/alignment/NA20849.mapped.ILLUMINA.bwa.GIH.low_coverage.20120522.bam,,HG03019.mapped.ILLUMINA.bwa.PJL.low_coverage.20130415.bam
12369,HG01326.mapped.ILLUMINA.bwa.PUR.low_coverage.20121211.bam,HG01326,1,YES,ALL,BAM,0.02398,0,1558284,5.37,0.50238,0.00049,0,0,0,0,PUR.omni_wg_2141_filtered.vcf.gz,PASS,5/17/2013 1:01,/nfs/1000g-archive/vol1/ftp/data/HG01326/alignment/HG01326.mapped.ILLUMINA.bwa.PUR.low_coverage.20121211.bam,,HG03717.mapped.ILLUMINA.bwa.ITU.low_coverage.20130415.bam
10332,HG00157.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam,HG00157,1,YES,ALL,BAM,0.02388,0.02314,1389642,4.79,0.50278,0.00071,0.50214,0.0009,4.801,0.9992,GBR.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/16/2013 18:30,/nfs/1000g-archive/vol1/ftp/data/HG00157/alignment/HG00157.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam,,NA12006.mapped.ILLUMINA.bwa.CEU.low_coverage.20121211.bam
55302,HG01912.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam,HG01912,1,YES,ALL,BAM,0.02172,0.0226,1597764,4.85,0.50107,0.0005,0.50167,0.0005,4.852,1.0006,ACB.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/13/2013 22:54,/nfs/1000g-archive/vol1/ftp/data/HG01912/alignment/HG01912.mapped.ILLUMINA.bwa.ACB.low_coverage.20130415.bam,,NA18562.mapped.ILLUMINA.bwa.CHB.low_coverage.20130415.bam
8766,HG01503.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam,HG01503,1,YES,ALL,BAM,0.02086,0.02067,1400201,4.03,0.50222,0.00053,0.50245,0.00076,4.03,1.0024,IBS.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/17/2013 5:44,/nfs/1000g-archive/vol1/ftp/data/HG01503/alignment/HG01503.mapped.ILLUMINA.bwa.IBS.low_coverage.20120522.bam,,HG01577.mapped.ILLUMINA.bwa.PEL.low_coverage.20120522.bam
45270,HG03644.mapped.ILLUMINA.bwa.STU.low_coverage.20130415.bam,HG03644,1,YES,ALL,BAM,0.01958,0,1753219,10.77,0.50152,0.00034,0,0,0,0,ALL.omni_wg_2141_filtered.vcf.gz,PASS,5/10/2013 13:08,/nfs/1000g-archive/vol1/ftp/data/HG03644/alignment/HG03644.mapped.ILLUMINA.bwa.STU.low_coverage.20130415.bam,,HG01098.mapped.ILLUMINA.bwa.PUR.low_coverage.20120522.bam
50332,NA20803.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam,NA20803,1,YES,ALL,BAM,0.01943,0.02014,1402149,5.64,0.50321,0.00038,0.50266,0.00033,5.646,0.9982,TSI.omni_wg_2141_filtered.vcf.gz,HIGH_CHIP_MIX,5/10/2013 23:13,/nfs/1000g-archive/vol1/ftp/data/NA20803/alignment/NA20803.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam,,HG03645.mapped.ILLUMINA.bwa.STU.low_coverage.20121211.bam
7249,HG02019.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam,HG02019,1,NO,ALL,BAM,0.01931,0.01951,1241587,4.33,0.50353,0.00048,0.50245,0.00069,4.333,1.0007,KHV.omni_wg_2141_filtered.vcf.gz,PASS,5/17/2013 0:13,/nfs/1000g-archive/vol1/ftp/data/HG02019/alignment/HG02019.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam,,HG02401.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam
10565,HG02165.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam,HG02165,1,YES,ALL,BAM,0.01888,0.01935,1235978,4.44,0.50307,0.00047,0.50255,0.00064,4.442,1.002,CDX.omni_wg_2141_filtered.vcf.gz,PASS,5/17/2013 1:38,/nfs/1000g-archive/vol1/ftp/data/HG02165/alignment/HG02165.mapped.ILLUMINA.bwa.CDX.low_coverage.20120522.bam,,HG03040.mapped.ILLUMINA.bwa.GWD.low_coverage.20130415.bam
34780,NA20508.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam,NA20508,1,YES,ALL,BAM,0.01839,0.01839,1402149,6.38,0.50195,0.00044,0.50278,0.00039,6.385,0.9998,TSI.omni_wg_2141_filtered.vcf.gz,PASS,5/8/2013 6:14,/nfs/1000g-archive/vol1/ftp/data/NA20508/alignment/NA20508.mapped.ILLUMINA.bwa.TSI.low_coverage.20130415.bam,,HG02067.mapped.ILLUMINA.bwa.KHV.low_coverage.20120522.bam
