Sample	SampleShort	Group	Contamination Status	Contamination Level	Distance	SampleCoverage
HG00096.final.cram.mt.bam	HG00096	High-coverage	NO	n/a	0	12150
HG00097.final.cram.mt.bam	HG00097	High-coverage	NO	n/a	0	13055
HG00099.final.cram.mt.bam	HG00099	High-coverage	NO	n/a	0	10675
HG00100.final.cram.mt.bam	HG00100	High-coverage	NO	n/a	0	8923
HG00101.final.cram.mt.bam	HG00101	High-coverage	NO	n/a	0	10394
HG00102.final.cram.mt.bam	HG00102	High-coverage	NO	n/a	0	11452
HG00103.final.cram.mt.bam	HG00103	High-coverage	NO	n/a	0	10439
HG00105.final.cram.mt.bam	HG00105	High-coverage	NO	n/a	0	8165
HG00106.final.cram.mt.bam	HG00106	High-coverage	NO	n/a	0	11649
HG00107.final.cram.mt.bam	HG00107	High-coverage	NO	n/a	0	10624
HG00108.final.cram.mt.bam	HG00108	High-coverage	NO	n/a	1	9782
HG00109.final.cram.mt.bam	HG00109	High-coverage	NO	n/a	0	11709
HG00110.final.cram.mt.bam	HG00110	High-coverage	NO	n/a	0	9024
HG00111.final.cram.mt.bam	HG00111	High-coverage	NO	n/a	0	10068
HG00112.final.cram.mt.bam	HG00112	High-coverage	NO	n/a	0	10306
HG00113.final.cram.mt.bam	HG00113	High-coverage	NO	n/a	0	9510
HG00114.final.cram.mt.bam	HG00114	High-coverage	NO	n/a	0	11616
HG00115.final.cram.mt.bam	HG00115	High-coverage	NO	n/a	0	9278
HG00116.final.cram.mt.bam	HG00116	High-coverage	NO	n/a	0	15386
HG00117.final.cram.mt.bam	HG00117	High-coverage	NO	n/a	0	12518
HG00118.final.cram.mt.bam	HG00118	High-coverage	NO	n/a	0	12172
HG00119.final.cram.mt.bam	HG00119	High-coverage	NO	n/a	1	14801
HG00120.final.cram.mt.bam	HG00120	High-coverage	NO	n/a	0	12385
HG00121.final.cram.mt.bam	HG00121	High-coverage	NO	n/a	0	14326
HG00122.final.cram.mt.bam	HG00122	High-coverage	NO	n/a	0	14462
HG00123.final.cram.mt.bam	HG00123	High-coverage	NO	n/a	0	10622
HG00125.final.cram.mt.bam	HG00125	High-coverage	NO	n/a	0	8928
HG00126.final.cram.mt.bam	HG00126	High-coverage	NO	n/a	0	19316
HG00127.final.cram.mt.bam	HG00127	High-coverage	NO	n/a	0	12585
HG00128.final.cram.mt.bam	HG00128	High-coverage	NO	n/a	0	25298
HG00129.final.cram.mt.bam	HG00129	High-coverage	NO	n/a	0	9864
HG00130.final.cram.mt.bam	HG00130	High-coverage	NO	n/a	0	9481
HG00131.final.cram.mt.bam	HG00131	High-coverage	NO	n/a	0	10501
HG00132.final.cram.mt.bam	HG00132	High-coverage	NO	n/a	0	11493
HG00133.final.cram.mt.bam	HG00133	High-coverage	NO	n/a	0	17741
HG00136.final.cram.mt.bam	HG00136	High-coverage	NO	n/a	0	11177
HG00137.final.cram.mt.bam	HG00137	High-coverage	NO	n/a	0	11964
HG00138.final.cram.mt.bam	HG00138	High-coverage	NO	n/a	0	11449
HG00139.final.cram.mt.bam	HG00139	High-coverage	NO	n/a	0	10611
HG00140.final.cram.mt.bam	HG00140	High-coverage	NO	n/a	0	9440
HG00141.final.cram.mt.bam	HG00141	High-coverage	NO	n/a	0	9636
HG00142.final.cram.mt.bam	HG00142	High-coverage	NO	n/a	0	12929
HG00143.final.cram.mt.bam	HG00143	High-coverage	NO	n/a	0	9916
HG00145.final.cram.mt.bam	HG00145	High-coverage	NO	n/a	0	9556
HG00146.final.cram.mt.bam	HG00146	High-coverage	NO	n/a	0	12563
HG00148.final.cram.mt.bam	HG00148	High-coverage	NO	n/a	0	14345
HG00149.final.cram.mt.bam	HG00149	High-coverage	NO	n/a	0	9112
HG00150.final.cram.mt.bam	HG00150	High-coverage	NO	n/a	0	10595
HG00151.final.cram.mt.bam	HG00151	High-coverage	NO	n/a	0	11749
HG00154.final.cram.mt.bam	HG00154	High-coverage	NO	n/a	0	10077
HG00155.final.cram.mt.bam	HG00155	High-coverage	NO	n/a	0	9474
HG00157.final.cram.mt.bam	HG00157	High-coverage	NO	n/a	0	9275
HG00158.final.cram.mt.bam	HG00158	High-coverage	NO	n/a	0	10529
HG00159.final.cram.mt.bam	HG00159	High-coverage	NO	n/a	0	9961
HG00160.final.cram.mt.bam	HG00160	High-coverage	NO	n/a	0	9931
HG00171.final.cram.mt.bam	HG00171	High-coverage	NO	n/a	0	14989
HG00173.final.cram.mt.bam	HG00173	High-coverage	NO	n/a	0	10675
HG00174.final.cram.mt.bam	HG00174	High-coverage	NO	n/a	0	14937
HG00176.final.cram.mt.bam	HG00176	High-coverage	NO	n/a	0	14211
HG00177.final.cram.mt.bam	HG00177	High-coverage	NO	n/a	0	10530
HG00178.final.cram.mt.bam	HG00178	High-coverage	NO	n/a	0	12477
HG00179.final.cram.mt.bam	HG00179	High-coverage	NO	n/a	2	12319
HG00180.final.cram.mt.bam	HG00180	High-coverage	NO	n/a	0	11109
HG00181.final.cram.mt.bam	HG00181	High-coverage	NO	n/a	0	10608
HG00182.final.cram.mt.bam	HG00182	High-coverage	NO	n/a	0	9393
HG00183.final.cram.mt.bam	HG00183	High-coverage	NO	n/a	0	14701
HG00185.final.cram.mt.bam	HG00185	High-coverage	NO	n/a	0	15301
HG00186.final.cram.mt.bam	HG00186	High-coverage	NO	n/a	0	11015
HG00187.final.cram.mt.bam	HG00187	High-coverage	NO	n/a	0	11508
HG00188.final.cram.mt.bam	HG00188	High-coverage	NO	n/a	0	11366
HG00189.final.cram.mt.bam	HG00189	High-coverage	NO	n/a	0	9178
HG00190.final.cram.mt.bam	HG00190	High-coverage	NO	n/a	0	9771
HG00231.final.cram.mt.bam	HG00231	High-coverage	NO	n/a	0	10543
HG00232.final.cram.mt.bam	HG00232	High-coverage	NO	n/a	0	14016
HG00233.final.cram.mt.bam	HG00233	High-coverage	NO	n/a	0	11564
HG00234.final.cram.mt.bam	HG00234	High-coverage	NO	n/a	0	12751
HG00235.final.cram.mt.bam	HG00235	High-coverage	NO	n/a	0	12145
HG00236.final.cram.mt.bam	HG00236	High-coverage	NO	n/a	0	15440
HG00237.final.cram.mt.bam	HG00237	High-coverage	NO	n/a	0	14043
HG00238.final.cram.mt.bam	HG00238	High-coverage	NO	n/a	0	8234
HG00239.final.cram.mt.bam	HG00239	High-coverage	NO	n/a	0	8690
HG00240.final.cram.mt.bam	HG00240	High-coverage	NO	n/a	0	7716
HG00242.final.cram.mt.bam	HG00242	High-coverage	NO	n/a	0	11907
HG00243.final.cram.mt.bam	HG00243	High-coverage	NO	n/a	0	11887
HG00244.final.cram.mt.bam	HG00244	High-coverage	NO	n/a	0	14530
HG00245.final.cram.mt.bam	HG00245	High-coverage	NO	n/a	0	13159
HG00246.final.cram.mt.bam	HG00246	High-coverage	NO	n/a	0	16346
HG00250.final.cram.mt.bam	HG00250	High-coverage	NO	n/a	0	9683
HG00251.final.cram.mt.bam	HG00251	High-coverage	NO	n/a	0	14198
HG00252.final.cram.mt.bam	HG00252	High-coverage	NO	n/a	0	11266
HG00253.final.cram.mt.bam	HG00253	High-coverage	NO	n/a	0	12381
HG00254.final.cram.mt.bam	HG00254	High-coverage	NO	n/a	0	12273
HG00255.final.cram.mt.bam	HG00255	High-coverage	NO	n/a	0	11701
HG00256.final.cram.mt.bam	HG00256	High-coverage	NO	n/a	0	10477
HG00257.final.cram.mt.bam	HG00257	High-coverage	NO	n/a	0	13052
HG00258.final.cram.mt.bam	HG00258	High-coverage	NO	n/a	0	16346
HG00259.final.cram.mt.bam	HG00259	High-coverage	NO	n/a	0	9718
HG00260.final.cram.mt.bam	HG00260	High-coverage	NO	n/a	0	10812
HG00261.final.cram.mt.bam	HG00261	High-coverage	NO	n/a	0	12793
HG00262.final.cram.mt.bam	HG00262	High-coverage	NO	n/a	0	11174
HG00263.final.cram.mt.bam	HG00263	High-coverage	NO	n/a	0	9793
HG00264.final.cram.mt.bam	HG00264	High-coverage	NO	n/a	0	10180
HG00265.final.cram.mt.bam	HG00265	High-coverage	NO	n/a	0	12888
HG00266.final.cram.mt.bam	HG00266	High-coverage	NO	n/a	0	8033
HG00267.final.cram.mt.bam	HG00267	High-coverage	NO	n/a	1	11019
HG00268.final.cram.mt.bam	HG00268	High-coverage	NO	n/a	0	11399
HG00269.final.cram.mt.bam	HG00269	High-coverage	NO	n/a	0	9155
HG00271.final.cram.mt.bam	HG00271	High-coverage	NO	n/a	0	12767
HG00272.final.cram.mt.bam	HG00272	High-coverage	NO	n/a	0	11823
HG00273.final.cram.mt.bam	HG00273	High-coverage	NO	n/a	0	12043
HG00274.final.cram.mt.bam	HG00274	High-coverage	NO	n/a	0	15000
HG00275.final.cram.mt.bam	HG00275	High-coverage	NO	n/a	0	9859
HG00276.final.cram.mt.bam	HG00276	High-coverage	NO	n/a	0	14545
HG00277.final.cram.mt.bam	HG00277	High-coverage	NO	n/a	0	10261
HG00278.final.cram.mt.bam	HG00278	High-coverage	NO	n/a	0	10415
HG00280.final.cram.mt.bam	HG00280	High-coverage	NO	n/a	0	8483
HG00281.final.cram.mt.bam	HG00281	High-coverage	NO	n/a	0	15312
HG00282.final.cram.mt.bam	HG00282	High-coverage	NO	n/a	0	8784
HG00284.final.cram.mt.bam	HG00284	High-coverage	NO	n/a	0	10284
HG00285.final.cram.mt.bam	HG00285	High-coverage	NO	n/a	0	9224
HG00288.final.cram.mt.bam	HG00288	High-coverage	NO	n/a	0	8967
HG00290.final.cram.mt.bam	HG00290	High-coverage	NO	n/a	0	19149
HG00304.final.cram.mt.bam	HG00304	High-coverage	NO	n/a	0	9349
HG00306.final.cram.mt.bam	HG00306	High-coverage	NO	n/a	0	11077
HG00308.final.cram.mt.bam	HG00308	High-coverage	NO	n/a	0	9856
HG00309.final.cram.mt.bam	HG00309	High-coverage	NO	n/a	0	8886
HG00310.final.cram.mt.bam	HG00310	High-coverage	NO	n/a	0	15263
HG00311.final.cram.mt.bam	HG00311	High-coverage	NO	n/a	0	10696
HG00313.final.cram.mt.bam	HG00313	High-coverage	NO	n/a	0	10103
