"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"1.0","99999.0","6.30310303103031","0.77698","0.3168863377267545","0.532148923346666","0.5","0","28","38849","15844","34155","11151"
"2.0","99999.0","6.30310303103031","0.77688","0.31714634292685856","0.5322116570301154","0.5","1","28","38844","15857","34142","11156"
"3.0","99999.0","6.30310303103031","0.75182","0.38470769415388306","0.5499378245922024","0.5","2","28","37591","19235","30764","12409"
"4.0","99999.0","6.30310303103031","0.7098","0.4485889717794356","0.5627973358705994","0.5","3","28","35490","22429","27570","14510"
"5.0","99999.0","6.30310303103031","0.6268","0.5460109202184044","0.5799515164973446","0.5","4","28","31340","27300","22699","18660"
"6.0","99999.0","6.30310303103031","0.51164","0.6488329766595332","0.5929995363931386","0.5","5","28","25582","32441","17558","24418"
"7.0","99999.0","6.30310303103031","0.35016","0.7782355647112942","0.6122534620226605","0.5","6","28","17508","38911","11088","32492"
"8.0","99999.0","6.30310303103031","0.21392","0.874097481949639","0.6295097404508269","0.5","7","28","10696","43704","6295","39304"
"9.0","99999.0","6.30310303103031","0.14138","0.9198783975679513","0.6382844243792325","0.5","8","28","7069","45993","4006","42931"
"10.0","99999.0","6.30310303103031","0.08832","0.9525590511810236","0.6505598114319388","0.5","9","28","4416","47627","2372","45584"
"11.0","99999.0","6.30310303103031","0.05104","0.9727394547890957","0.6518518518518519","0.5","10","28","2552","48636","1363","47448"
"12.0","99999.0","6.30310303103031","0.02794","0.9855397107942159","0.6589622641509434","0.5","11","28","1397","49276","723","48603"
"13.0","99999.0","6.30310303103031","0.01472","0.992479849596992","0.6618705035971223","0.5","12","28","736","49623","376","49264"
"14.0","99999.0","6.30310303103031","0.00718","0.996379927598552","0.6648148148148149","0.5","13","28","359","49818","181","49641"
"15.0","99999.0","6.30310303103031","0.00342","0.9981199623992479","0.6452830188679245","0.5","14","28","171","49905","94","49829"
"16.0","99999.0","6.30310303103031","0.0015","0.99939998799976","0.7142857142857143","0.5","15","28","75","49969","30","49925"
"17.0","99999.0","6.30310303103031","7.0E-4","0.999719994399888","0.7142857142857143","0.5","16","28","35","49985","14","49965"
"18.0","99999.0","6.30310303103031","3.2E-4","0.999879997599952","0.7272727272727273","0.5","17","28","16","49993","6","49984"
"19.0","99999.0","6.30310303103031","1.8E-4","0.999979999599992","0.9","0.5","18","28","9","49998","1","49991"
"20.0","99999.0","6.30310303103031","2.0E-5","1.0","1.0","0.5","19","28","1","49999","0","49999"
"21.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.5","20","28","0","49999","0","50000"
"22.0","99999.0","6.30310303103031","0.38532","0.6925938518770376","0.5562420602840975","0.6","0","28","19266","34629","15370","30734"
"23.0","99999.0","6.30310303103031","0.3853","0.6927538550771015","0.556357755508707","0.6","1","28","19265","34637","15362","30735"
"24.0","99999.0","6.30310303103031","0.3747","0.7387947758955179","0.5892435917597106","0.6","2","28","18735","36939","13060","31265"
"25.0","99999.0","6.30310303103031","0.35112","0.7787355747114942","0.6134386246898913","0.6","3","28","17556","38936","11063","32444"
"26.0","99999.0","6.30310303103031","0.30278","0.8321566431328626","0.6433640729250776","0.6","4","28","15139","41607","8392","34861"
"27.0","99999.0","6.30310303103031","0.23758","0.882617652353047","0.6693148523777327","0.6","5","28","11879","44130","5869","38121"
"28.0","99999.0","6.30310303103031","0.16488","0.9283985679713594","0.6972259810554804","0.6","6","28","8244","46419","3580","41756"
"29.0","99999.0","6.30310303103031","0.1023","0.9625392507850157","0.7319690898683457","0.6","7","28","5115","48126","1873","44885"
"30.0","99999.0","6.30310303103031","0.0632","0.9797195943918878","0.7570675610924772","0.6","8","28","3160","48985","1014","46840"
"31.0","99999.0","6.30310303103031","0.03658","0.9905798115962319","0.7952173913043479","0.6","9","28","1829","49528","471","48171"
"32.0","99999.0","6.30310303103031","0.01908","0.995939918798376","0.8245462402765773","0.6","10","28","954","49796","203","49046"
"33.0","99999.0","6.30310303103031","0.00922","0.997939958799176","0.8173758865248227","0.6","11","28","461","49896","103","49539"
