"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"1.0","500000.0","8.823886","0.947536","0.606804","0.7067303532697063","0.5","0","28","236884","151701","98299","13116"
"2.0","500000.0","8.823886","0.947536","0.607056","0.7068632131773693","0.5","1","28","236884","151764","98236","13116"
"3.0","500000.0","8.823886","0.945696","0.737108","0.7824800511009542","0.5","2","28","236424","184277","65723","13576"
"4.0","500000.0","8.823886","0.94288","0.760656","0.7975476728606423","0.5","3","28","235720","190164","59836","14280"
"5.0","500000.0","8.823886","0.937072","0.806856","0.8291087721285135","0.5","4","28","234268","201714","48286","15732"
"6.0","500000.0","8.823886","0.92786","0.852564","0.862887986191709","0.5","5","28","231965","213141","36859","18035"
"7.0","500000.0","8.823886","0.897632","0.896568","0.8966779346775031","0.5","6","28","224408","224142","25858","25592"
"8.0","500000.0","8.823886","0.863644","0.932564","0.9275722816514156","0.5","7","28","215911","233141","16859","34089"
"9.0","500000.0","8.823886","0.843704","0.950972","0.945080942544907","0.5","8","28","210926","237743","12257","39074"
"10.0","500000.0","8.823886","0.818644","0.965096","0.9591071621045331","0.5","9","28","204661","241274","8726","45339"
"11.0","500000.0","8.823886","0.790344","0.974616","0.9688817841241198","0.5","10","28","197586","243654","6346","52414"
"12.0","500000.0","8.823886","0.756124","0.98204","0.9767983836379515","0.5","11","28","189031","245510","4490","60969"
"13.0","500000.0","8.823886","0.714052","0.98738","0.9826331549860184","0.5","12","28","178513","246845","3155","71487"
"14.0","500000.0","8.823886","0.663308","0.991288","0.987036100116068","0.5","13","28","165827","247822","2178","84173"
"15.0","500000.0","8.823886","0.607384","0.99384","0.9899599702710808","0.5","14","28","151846","248460","1540","98154"
"16.0","500000.0","8.823886","0.540248","0.995864","0.9924024218198918","0.5","15","28","135062","248966","1034","114938"
"17.0","500000.0","8.823886","0.468124","0.997516","0.9947217216876891","0.5","16","28","117031","249379","621","132969"
"18.0","500000.0","8.823886","0.39206","0.99856","0.9963405336721728","0.5","17","28","98015","249640","360","151985"
"19.0","500000.0","8.823886","0.318992","0.99932","0.9978728196401311","0.5","18","28","79748","249830","170","170252"
"20.0","500000.0","8.823886","0.25218","0.99972","0.9988909134120256","0.5","19","28","63045","249930","70","186955"
"21.0","500000.0","8.823886","0.2018","0.999856","0.9992869310303847","0.5","20","28","50450","249964","36","199550"
"22.0","500000.0","8.823886","0.819848","0.710836","0.7392598096323575","0.6","0","28","204962","177709","72291","45038"
"23.0","500000.0","8.823886","0.819848","0.711072","0.7394171591015678","0.6","1","28","204962","177768","72232","45038"
"24.0","500000.0","8.823886","0.818756","0.831984","0.8297316908059815","0.6","2","28","204689","207996","42004","45311"
"25.0","500000.0","8.823886","0.816908","0.850168","0.8450131369344395","0.6","3","28","204227","212542","37458","45773"
"26.0","500000.0","8.823886","0.812968","0.886044","0.8770600394422844","0.6","4","28","203242","221511","28489","46758"
"27.0","500000.0","8.823886","0.806652","0.918944","0.9086906955890901","0.6","5","28","201663","229736","20264","48337"
"28.0","500000.0","8.823886","0.794084","0.942112","0.9320541050644857","0.6","6","28","198521","235528","14472","51479"
"29.0","500000.0","8.823886","0.779028","0.960396","0.9516217299103871","0.6","7","28","194757","240099","9901","55243"
"30.0","500000.0","8.823886","0.763496","0.971732","0.9642974421671104","0.6","8","28","190874","242933","7067","59126"
"31.0","500000.0","8.823886","0.74318","0.979976","0.9737632402345899","0.6","9","28","185795","244994","5006","64205"
"32.0","500000.0","8.823886","0.71946","0.985344","0.9800358526445412","0.6","10","28","179865","246336","3664","70135"
"33.0","500000.0","8.823886","0.689544","0.9897","0.9852824343710884","0.6","11","28","172386","247425","2575","77614"
"34.0","500000.0","8.823886","0.652648","0.992752","0.9890164510771394","0.6","12","28","163162","248188","1812","86838"
"35.0","500000.0","8.823886","0.607268","0.99492","0.9917040637023392","0.6","13","28","151817","248730","1270","98183"
"36.0","500000.0","8.823886","0.556636","0.996504","0.9937586140409761","0.6","14","28","139159","249126","874","110841"
"37.0","500000.0","8.823886","0.495496","0.997656","0.995291659971075","0.6","15","28","123874","249414","586","126126"
"38.0","500000.0","8.823886","0.430472","0.998692","0.9969706795127148","0.6","16","28","107618","249673","327","142382"
"39.0","500000.0","8.823886","0.3614","0.99928","0.9980117088258036","0.6","17","28","90350","249820","180","159650"
"40.0","500000.0","8.823886","0.295648","0.999708","0.9990133135094952","0.6","18","28","73912","249927","73","176088"
"41.0","500000.0","8.823886","0.235236","0.99994","0.9997450020399837","0.6","19","28","58809","249985","15","191191"
"42.0","500000.0","8.823886","0.188872","0.99998","0.9998941193909747","0.6","20","28","47218","249995","5","202782"
"43.0","500000.0","8.823886","0.630972","0.813284","0.7716537358992672","0.7","0","28","157743","203321","46679","92257"
"44.0","500000.0","8.823886","0.630972","0.813456","0.771816086779953","0.7","1","28","157743","203364","46636","92257"
"45.0","500000.0","8.823886","0.630428","0.90892","0.8737643934647987","0.7","2","28","157607","227230","22770","92393"
"46.0","500000.0","8.823886","0.629508","0.919496","0.8866160008563235","0.7","3","28","157377","229874","20126","92623"
"47.0","500000.0","8.823886","0.62756","0.942024","0.9154296783830462","0.7","4","28","156890","235506","14494","93110"
"48.0","500000.0","8.823886","0.624188","0.961852","0.9424038554449705","0.7","5","28","156047","240463","9537","93953"
"49.0","500000.0","8.823886","0.618688","0.973256","0.9585641864673583","0.7","6","28","154672","243314","6686","95328"
"50.0","500000.0","8.823886","0.611388","0.982528","0.9722163915656903","0.7","7","28","152847","245632","4368","97153"
"51.0","500000.0","8.823886","0.603116","0.987672","0.9799689329979657","0.7","8","28","150779","246918","3082","99221"
